"count","slice_num","gene","coord_x","coord_y"
1,29,"Slc17a7",4.12476657278987,5.90928432288613
5,29,"Slc17a7",9.28883426837733,3.07618704224268
1,29,"Pvalb",8.81800193725779,5.10114338180646
1,29,"Pvalb",2.69733479759826,5.41388279035549
1,29,"Slc17a7",2.69733479759826,5.41388279035549
1,29,"Tac2",8.80894926000644,2.8407492604061
3,29,"Slc17a7",9.28713874738626,2.95124165707548
1,29,"Pvalb",9.14838012210202,3.09921249068767
2,29,"Slc17a7",9.24991158990376,3.06758572707652
2,29,"Slc17a7",9.26228726878506,2.83201339380692
1,29,"Pvalb",9.28480746375811,3.7882873744447
1,29,"Slc17a7",9.2732273183797,4.21079646798735
1,29,"Tac2",8.95273092204473,2.93358867277951
5,29,"Slc17a7",8.95273092204473,2.93358867277951
3,29,"Slc17a7",9.39090799036238,3.1845386130288
1,29,"Tac2",2.06465788857846,3.94072023208111
6,29,"Slc17a7",9.28595409581025,2.96500163309957
1,29,"Tac2",8.92347171144549,4.91149012744594
1,29,"Slc17a7",8.92347171144549,4.91149012744594
1,29,"Tac2",8.9475383468418,2.94309799291354
1,29,"Slc17a7",8.9475383468418,2.94309799291354
3,29,"Slc17a7",9.25529223806742,3.00300521518731
1,29,"Tac2",9.17564725993127,3.15546380119004
1,29,"Slc17a7",9.17564725993127,3.15546380119004
1,29,"Slc17a7",2.04556007191946,3.99673975836968
1,29,"Vip",2.04556007191946,3.99673975836968
3,29,"Slc17a7",9.26126334340225,2.84063893798032
1,29,"Slc17a7",2.00528499773714,4.23604503387275
2,29,"Slc17a7",9.22201298143851,4.07232710197742
1,29,"Vip",8.87212880492359,5.0456722886987
1,29,"Slc17a7",9.24796104382003,3.91327466674636
1,29,"Tac2",9.29293852468991,2.99027693660012
3,29,"Slc17a7",9.29293852468991,2.99027693660012
2,29,"Slc17a7",9.31431931933448,3.04870265022954
4,29,"Slc17a7",9.30963576695738,3.03726489340701
1,29,"Pvalb",3.80531876560955,5.88987140191528
1,29,"Slc17a7",3.80531876560955,5.88987140191528
1,29,"Slc17a7",1.70445410361093,3.78900843817182
1,29,"Slc17a7",2.09057647962817,3.56424536291026
5,29,"Slc17a7",7.24099896636173,5.05582490489555
1,29,"Slc17a7",9.14584199203831,3.10832322151187
1,29,"Slc17a7",9.25712830227192,4.08834285101732
4,29,"Slc17a7",1.84829970574404,2.0743337924698
2,29,"Slc17a7",9.14149551043931,3.09581423090224
1,29,"Tac2",9.17978389843537,3.09513082041455
3,29,"Slc17a7",9.17978389843537,3.09513082041455
1,29,"Pvalb",7.678520760374,4.8762582705996
9,29,"Slc17a7",7.678520760374,4.8762582705996
1,29,"Slc17a7",8.92619242777477,5.04906006215112
1,29,"Tac2",9.20335448028146,4.1508913929309
1,29,"Pvalb",7.0875799305932,6.02884426871645
3,29,"Slc17a7",7.0875799305932,6.02884426871645
1,29,"Slc17a7",1.9582074451867,4.42451877667705
1,29,"Vip",2.2011431088999,3.20022826545112
3,29,"Slc17a7",7.06347618537642,6.03291281049618
1,29,"Vip",7.06347618537642,6.03291281049618
1,29,"Tac2",2.30203653928809,5.00495746857751
1,29,"Slc17a7",2.48702353751855,2.63535349188344
1,29,"Slc17a7",7.90003618497443,5.83011589953013
3,29,"Pvalb",7.2719600906765,4.95717626371122
6,29,"Slc17a7",7.2719600906765,4.95717626371122
1,29,"Pvalb",9.2018210877377,4.35407564194354
1,29,"Slc17a7",9.2018210877377,4.35407564194354
1,29,"Pvalb",2.4575453509362,5.19201961720095
1,29,"Slc17a7",2.4575453509362,5.19201961720095
1,29,"Pvalb",2.08088366898874,4.09307068050111
1,29,"Slc17a7",2.08088366898874,4.09307068050111
1,29,"Pvalb",3.40296910744212,5.78433139368487
2,29,"Slc17a7",3.40296910744212,5.78433139368487
4,29,"Slc17a7",3.38483495863621,4.89151619657074
1,29,"Slc17a7",2.46969714251975,2.68766727208191
3,29,"Slc17a7",8.80040540632883,2.76347838235061
1,29,"Tac2",8.76138720820822,2.76083518611863
1,29,"Slc17a7",8.76138720820822,2.76083518611863
1,29,"Pvalb",9.19694018510506,3.14693990562448
1,29,"Tac2",9.19694018510506,3.14693990562448
2,29,"Slc17a7",3.00662476500188,5.60982441205258
